,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
0,6.000000000000003e-14,1.136577288762978,1.03466718211385,1.1151631748199843e-11,1.0296064095718098e-12,1.0804125158279406e-05
1,6.000000000000003e-14,1.3587995109852002,1.0273063629249748,1.1158047953393178e-11,1.047808363449718e-12,1.654973033039201e-05
2,6.000000000000003e-14,1.5810217332074223,1.028102455671851,1.1182320419412611e-11,1.04816457273438e-12,2.535132781089552e-05
3,6.000000000000003e-14,1.8032439554296444,0.9974176746965817,1.1219844324749923e-11,1.1286756519171487e-12,3.883500264651994e-05
4,6.000000000000003e-14,2.0254661776518668,0.9969671568475693,1.1277049341243854e-11,1.135607687412804e-12,5.949292390773093e-05
5,6.000000000000003e-14,2.247688399874089,0.9339164087517755,1.1363657477715746e-11,1.3231275916601686e-12,9.114570631315896e-05
6,6.000000000000003e-14,2.469910622096311,0.9379939739874832,1.1494500616688105e-11,1.325855314988489e-12,0.00013965279353195012
7,6.000000000000003e-14,2.6921328443185333,0.8219045731081245,1.1689890332235182e-11,1.7615941677392993e-12,0.00021400525725337414
8,6.000000000000003e-14,2.9143550665407556,0.8304381376667322,1.1978563723626792e-11,1.769972871339072e-12,0.0003280083268012059
9,6.000000000000003e-14,3.136577288762978,0.5943302301905433,1.2397278141295853e-11,3.1549763989102912e-12,0.0005028731865701975
10,6.000000000000003e-14,3.336577288762978,0.48843580751042026,1.2917910309071399e-11,4.195236585004426e-12,0.0007389098961758214
11,6.000000000000003e-14,3.536577288762978,0.4490351024847197,1.5921220547355536e-11,5.661627028730204e-12,0.0010860269649686895
12,6.000000000000003e-14,3.736577288762978,0.4899706677243518,1.7816182184794762e-11,5.765592941049118e-12,0.0015965582904149376
13,6.000000000000003e-14,3.9365772887629777,0.2018960846048934,2.0582042445253153e-11,1.2929817198685669e-11,0.002347276689053465
14,6.000000000000003e-14,4.136577288762978,0.1208445521847068,2.5453886962542426e-11,1.92712355135199e-11,0.0034505024899928057
15,6.000000000000003e-14,4.336577288762978,0.13533214553412343,3.3972601191036324e-11,2.487692262498303e-11,0.0050702841946686
16,6.000000000000003e-14,4.536577288762978,0.04361044947743764,4.447038545274101e-11,4.022170202485753e-11,0.007446237569599495
17,6.000000000000003e-14,4.7365772887629785,0.09825231501040221,6.465172129354409e-11,5.156176522295011e-11,0.010928455354713283
18,6.000000000000003e-14,4.936577288762978,0.0077663524917799265,7.287406848608273e-11,7.158246736391993e-11,0.01602761864950931
19,6.000000000000003e-14,5.136577288762978,0.023819075229294384,1.3260521698541114e-10,1.2552826761977383e-10,0.023486032264392942
20,1.000860322320034e-13,1.136577288762978,1.034276585875487,1.114119578196749e-11,1.029568437126677e-12,1.8022352253151728e-05
21,1.000860322320034e-13,1.3587995109852002,1.0268976385717963,1.1147786575619249e-11,1.0478304308634177e-12,2.7606591522962773e-05
22,1.000860322320034e-13,1.5810217332074223,1.0280990364426135,1.1182234182658686e-11,1.0481647416491442e-12,4.228852902146962e-05
23,1.000860322320034e-13,1.8032439554296444,0.9973730966457062,1.1218805737789064e-11,1.1286870216927768e-12,6.478123828044675e-05
24,1.000860322320034e-13,2.0254661776518668,0.996962840991463,1.1276894109626974e-11,1.1356033406127294e-12,9.924009772282279e-05
25,1.000860322320034e-13,2.247688399874089,0.9339462015482489,1.1363638674894298e-11,1.3230346384699526e-12,0.0001520400945001234
26,1.000860322320034e-13,2.469910622096311,0.9379901352752551,1.1494399207332158e-11,1.3258553368635404e-12,0.00023295470829940478
27,1.000860322320034e-13,2.6921328443185333,0.8219025810188292,1.1689838610016305e-11,1.7615944538569959e-12,0.0003569819926478011
28,1.000860322320034e-13,2.9143550665407556,0.8304433550296846,1.1978674541094033e-11,1.7699679824154908e-12,0.000547150417112031
29,1.000860322320034e-13,3.136577288762978,0.59432494572434,1.2397116718950611e-11,3.1549737079031566e-12,0.0008388418112151483
30,1.000860322320034e-13,3.336577288762978,0.4884401257473865,1.2918039974639714e-11,4.195236981453277e-12,0.001232574969483834
31,1.000860322320034e-13,3.536577288762978,0.449035866136553,1.5921249371240487e-11,5.661627323314708e-12,0.0018116006620132131
32,1.000860322320034e-13,3.736577288762978,0.48997021740478175,1.781615802372798e-11,5.765591100486383e-12,0.002663218735742874
33,1.000860322320034e-13,3.9365772887629777,0.20189639055669062,2.058206294260655e-11,1.2929820966496398e-11,0.003915490269961779
34,1.000860322320034e-13,4.136577288762978,0.12084448988974827,2.5453883687474323e-11,1.9271235798208412e-11,0.0057557802471425185
35,1.000860322320034e-13,4.336577288762978,0.13533215695647094,3.397260232756235e-11,2.48769228029343e-11,0.008457737073709549
36,1.000860322320034e-13,4.536577288762978,0.043610463065181904,4.4470386847111535e-11,4.0221702027596514e-11,0.012421062630309064
37,1.000860322320034e-13,4.7365772887629785,0.09825234212616962,6.465172276900552e-11,5.1561763180347543e-11,0.01822974814014263
38,1.000860322320034e-13,4.936577288762978,0.007766386453967655,7.287407416411967e-11,7.158246734351248e-11,0.026735657256082176
