,Plot,Cell_type,Variant,STAT_type,Variant,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
38,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,4.095050602220965e-09,3.136577288762978,100000,1.0,0.0006794968117072815
39,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,6.132638017300007e-09,3.136577288762978,100000,1.0,0.00045350228667576336
40,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,2.8528190358168157e-12,3.136577288762978,100000,1.0,0.16645304080258036
41,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,4.272305320485853e-12,3.136577288762978,100000,1.0,0.16477778634400198
42,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,6.398089932201252e-12,3.136577288762978,100000,1.0,0.1623001764717637
43,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,9.581607986734417e-12,3.136577288762978,100000,1.0,0.15865877079241975
44,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,1.4349159293524754e-11,3.136577288762978,100000,1.0,0.1533569569707377
45,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,2.148891634013936e-11,3.136577288762978,100000,1.0,0.14574598476098688
46,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,3.2181225117620064e-11,3.136577288762978,100000,1.0,0.13505047042387017
47,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,4.819374014391199e-11,3.136577288762978,100000,1.0,0.12049635042993749
