,Plot,Cell_type,Variant,STAT_type,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
0,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1e-13,3.136577288762978,100000,1.0,0.1693438864196472
1,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.0691380811147902e-13,3.136577288762978,100000,1.0,0.16878140810609688
2,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,4.2813323987193956e-13,3.136577288762978,100000,1.0,0.1676212690178138
3,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,8.858667904100832e-13,3.136577288762978,100000,1.0,0.16523671418044683
4,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.8329807108324375e-12,3.136577288762978,100000,1.0,0.16037132697786996
5,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,3.792690190732254e-12,3.136577288762978,100000,1.0,0.1506015568893533
6,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,7.847599703514622e-12,3.136577288762978,100000,1.0,0.1316838837372219
7,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.6237767391887175e-11,3.136577288762978,100000,1.0,0.09816472357329453
8,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,3.359818286283788e-11,3.136577288762978,100000,1.0,0.051138320861762086
9,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,6.95192796177559e-11,3.136577288762978,100000,1.0,0.014564714905092667
10,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.438449888287666e-10,3.136577288762978,100000,1.0,0.004344337493570016
11,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.976351441631313e-10,3.136577288762978,100000,1.0,0.00192545750712521
12,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,6.158482110660255e-10,3.136577288762978,100000,1.0,0.0008985323647084547
13,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.2742749857031322e-09,3.136577288762978,100000,1.0,0.00042707430408397376
14,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.6366508987303554e-09,3.136577288762978,100000,1.0,0.0002047578760322238
15,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,5.455594781168515e-09,3.136577288762978,100000,1.0,9.85776856909257e-05
16,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.1288378916846883e-08,3.136577288762978,100000,1.0,4.755347493018644e-05
17,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.3357214690901214e-08,3.136577288762978,100000,1.0,2.296165339608278e-05
18,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,4.832930238571752e-08,3.136577288762978,100000,1.0,1.1092398346678791e-05
19,0,ACH-000049,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1e-07,3.136577288762978,100000,1.0,5.359756180757265e-06
20,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1e-13,3.136577288762978,100000,1.0,0.16914504002775899
21,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,2.0691380811147902e-13,3.136577288762978,100000,1.0,0.1683690513889333
22,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,4.2813323987193956e-13,3.136577288762978,100000,1.0,0.16676413445679378
23,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,8.858667904100832e-13,3.136577288762978,100000,1.0,0.16344650565627675
24,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1.8329807108324375e-12,3.136577288762978,100000,1.0,0.15659665894039812
25,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,3.792690190732254e-12,3.136577288762978,100000,1.0,0.14249997903175665
26,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,7.847599703514622e-12,3.136577288762978,100000,1.0,0.11383376289891001
27,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1.6237767391887175e-11,3.136577288762978,100000,1.0,0.05993155650248499
28,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,3.359818286283788e-11,3.136577288762978,100000,1.0,0.009314207265391573
29,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,6.95192796177559e-11,3.136577288762978,100000,1.0,0.0022462977756035835
30,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1.438449888287666e-10,3.136577288762978,100000,1.0,0.0008795222310971335
31,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,2.976351441631313e-10,3.136577288762978,100000,1.0,0.0003889046480490602
32,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,6.158482110660255e-10,3.136577288762978,100000,1.0,0.00018049934974671928
33,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1.2742749857031322e-09,3.136577288762978,100000,1.0,8.559012378125723e-05
34,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,2.6366508987303554e-09,3.136577288762978,100000,1.0,4.099144637058691e-05
35,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,5.455594781168515e-09,3.136577288762978,100000,1.0,1.9724732570959114e-05
36,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1.1288378916846883e-08,3.136577288762978,100000,1.0,9.512829689865792e-06
37,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,2.3357214690901214e-08,3.136577288762978,100000,1.0,4.592827816827636e-06
38,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,4.832930238571752e-08,3.136577288762978,100000,1.0,2.218595621210938e-06
39,0,ACH-000049,Mut,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3159570.14596676,1.99223492590608e-06,6e-12,1e-07,3.136577288762978,100000,1.0,1.0719783007349016e-06
40,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1e-13,2.6688490478009883,100000,1.0,0.057616216224599545
41,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.0691380811147902e-13,2.6688490478009883,100000,1.0,0.05733579380963328
42,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,4.2813323987193956e-13,2.6688490478009883,100000,1.0,0.05675948714557348
43,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,8.858667904100832e-13,2.6688490478009883,100000,1.0,0.0555837140940583
44,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.8329807108324375e-12,2.6688490478009883,100000,1.0,0.05322121070999912
45,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,3.792690190732254e-12,2.6688490478009883,100000,1.0,0.04862416826694165
46,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,7.847599703514622e-12,2.6688490478009883,100000,1.0,0.0402720402549083
47,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.6237767391887175e-11,2.6688490478009883,100000,1.0,0.02719983293408887
48,1,ACH-000552,93:60,NO_STAT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,3.359818286283788e-11,2.6688490478009883,100000,1.0,0.01239980643437268
