Dataset type,RNA dataset num.,Prot. count dataset num.,Cell,Gene,Log2 TPM,Log10 Prot. count
Cancer,2.0,,ACH-000520,IL1R1_HUMAN,3.040892430646901,
Cancer,2.0,,ACH-000176,IL1R1_HUMAN,3.986410935252045,
Cancer,2.0,,ACH-000017,IL1R1_HUMAN,2.321928094887362,
Cancer,2.0,,ACH-000020,IL1R1_HUMAN,0.0840642647884745,
Cancer,2.0,,ACH-001385,IL1R1_HUMAN,1.1953475983222193,
Cancer,2.0,,ACH-000587,IL1R1_HUMAN,3.663344619366085,
Cancer,2.0,,ACH-000785,IL1R1_HUMAN,3.680324356844016,
Cancer,2.0,,ACH-000554,IL1R1_HUMAN,1.5310694927259538,
Cancer,2.0,,ACH-001398,IL1R1_HUMAN,4.044394119358453,
Cancer,2.0,,ACH-001991,IL1R1_HUMAN,0.4956951626240688,
Cancer,2.0,,ACH-001332,IL1R1_HUMAN,0.2750070474998698,
Cancer,2.0,,ACH-000585,IL1R1_HUMAN,3.786596361890807,
Cancer,2.0,,ACH-000550,IL1R1_HUMAN,2.62760683812965,
Cancer,2.0,,ACH-000627,IL1R1_HUMAN,2.765534746362977,
Cancer,2.0,,ACH-000704,IL1R1_HUMAN,2.2957230245399685,
Cancer,2.0,,ACH-000276,IL1R1_HUMAN,3.956056652412403,
Cancer,2.0,,ACH-000075,IL1R1_HUMAN,3.815575428862573,
Cancer,2.0,,ACH-000818,IL1R1_HUMAN,6.034303767768035,
Cancer,2.0,,ACH-001616,IL1R1_HUMAN,0.0,
Cancer,2.0,,ACH-000625,IL1R1_HUMAN,2.794935662803536,
Cancer,2.0,,ACH-000941,IL1R1_HUMAN,2.333423733725192,
Cancer,2.0,,ACH-000392,IL1R1_HUMAN,1.6415460290875237,
Cancer,2.0,,ACH-000269,IL1R1_HUMAN,0.765534746362977,
Cancer,2.0,,ACH-001670,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-000856,IL1R1_HUMAN,4.217230716220669,
Cancer,2.0,,ACH-002687,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-001119,IL1R1_HUMAN,6.307428525192248,
Cancer,2.0,,ACH-000376,IL1R1_HUMAN,3.3103401206121505,
Cancer,2.0,,ACH-000685,IL1R1_HUMAN,5.649040565634448,
Cancer,2.0,,ACH-000729,IL1R1_HUMAN,0.0285691521967709,
Cancer,2.0,,ACH-001034,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-001283,IL1R1_HUMAN,0.2141248053528473,
Cancer,2.0,,ACH-000880,IL1R1_HUMAN,1.3161457422933562,
Cancer,2.0,,ACH-000035,IL1R1_HUMAN,3.963474123974886,
Cancer,2.0,,ACH-001200,IL1R1_HUMAN,0.1763227726404629,
Cancer,2.0,,ACH-000194,IL1R1_HUMAN,4.680324356844016,
Cancer,2.0,,ACH-000322,IL1R1_HUMAN,1.761285273361619,
Cancer,2.0,,ACH-000552,IL1R1_HUMAN,0.3448284969974411,
Cancer,2.0,,ACH-002508,IL1R1_HUMAN,2.111031312388744,
Cancer,2.0,,ACH-000222,IL1R1_HUMAN,1.956056652412403,
Cancer,2.0,,ACH-000260,IL1R1_HUMAN,4.537917249034082,
Cancer,2.0,,ACH-001652,IL1R1_HUMAN,0.918386234446348,
Cancer,2.0,,ACH-000608,IL1R1_HUMAN,1.070389327891398,
Cancer,2.0,,ACH-000501,IL1R1_HUMAN,0.411426245726465,
Cancer,2.0,,ACH-000612,IL1R1_HUMAN,0.1634987322828795,
Cancer,2.0,,ACH-001184,IL1R1_HUMAN,0.0,
Cancer,2.0,,ACH-001688,IL1R1_HUMAN,1.8559896973084808,
Cancer,2.0,,ACH-001838,IL1R1_HUMAN,3.0,
Cancer,2.0,,ACH-000638,IL1R1_HUMAN,5.144454313926194,
Cancer,2.0,,ACH-001846,IL1R1_HUMAN,2.27500704749987,
Cancer,2.0,,ACH-000798,IL1R1_HUMAN,0.9411063109464316,
Cancer,2.0,,ACH-001321,IL1R1_HUMAN,3.496973580998276,
Cancer,2.0,,ACH-000894,IL1R1_HUMAN,1.6599245584023783,
Cancer,2.0,,ACH-001559,IL1R1_HUMAN,2.572889668420581,
Cancer,2.0,,ACH-000344,IL1R1_HUMAN,5.812241495189477,
Cancer,2.0,,ACH-000223,IL1R1_HUMAN,1.599317793698226,
Cancer,2.0,,ACH-000031,IL1R1_HUMAN,3.4905701304462013,
Cancer,2.0,,ACH-000034,IL1R1_HUMAN,0.1110313123887439,
Cancer,2.0,,ACH-001861,IL1R1_HUMAN,2.879705766282288,
Cancer,2.0,,ACH-000772,IL1R1_HUMAN,0.2509615735332188,
Cancer,2.0,,ACH-000946,IL1R1_HUMAN,1.144046369616707,
Cancer,2.0,,ACH-000596,IL1R1_HUMAN,2.849999259466098,
Cancer,2.0,,ACH-000632,IL1R1_HUMAN,2.144046369616707,
Cancer,2.0,,ACH-000978,IL1R1_HUMAN,1.4646682670034443,
Cancer,2.0,,ACH-000332,IL1R1_HUMAN,2.140778655782796,
Cancer,2.0,,ACH-001841,IL1R1_HUMAN,2.321928094887362,
Cancer,2.0,,ACH-000179,IL1R1_HUMAN,0.0285691521967709,
Cancer,2.0,,ACH-000887,IL1R1_HUMAN,2.6507645591169022,
Cancer,2.0,,ACH-000368,IL1R1_HUMAN,3.784503982929567,
Cancer,2.0,,ACH-000240,IL1R1_HUMAN,5.894817763307944,
Cancer,2.0,,ACH-000578,IL1R1_HUMAN,2.726831217032493,
Cancer,2.0,,ACH-001611,IL1R1_HUMAN,3.0874628412503395,
Cancer,2.0,,ACH-000135,IL1R1_HUMAN,4.574101508089389,
Cancer,2.0,,ACH-000406,IL1R1_HUMAN,0.0976107966264223,
Cancer,2.0,,ACH-001541,IL1R1_HUMAN,0.0426443374084937,
Cancer,2.0,,ACH-000998,IL1R1_HUMAN,0.4436066514756146,
Cancer,2.0,,ACH-000441,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000960,IL1R1_HUMAN,0.7990873060740036,
Cancer,2.0,,ACH-000098,IL1R1_HUMAN,3.9717734471933728,
Cancer,2.0,,ACH-001651,IL1R1_HUMAN,2.805292455600712,
Cancer,2.0,,ACH-001456,IL1R1_HUMAN,0.8953026213333066,
Cancer,2.0,,ACH-001336,IL1R1_HUMAN,2.885574364371426,
Cancer,2.0,,ACH-000284,IL1R1_HUMAN,4.8283269264148165,
Cancer,2.0,,ACH-000971,IL1R1_HUMAN,2.39231742277876,
Cancer,2.0,,ACH-001454,IL1R1_HUMAN,6.399342019125501,
Cancer,2.0,,ACH-000926,IL1R1_HUMAN,0.411426245726465,
Cancer,2.0,,ACH-000033,IL1R1_HUMAN,1.3895668117627256,
Cancer,2.0,,ACH-000576,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000019,IL1R1_HUMAN,0.5459683691052926,
Cancer,2.0,,ACH-001577,IL1R1_HUMAN,0.2016338611696504,
Cancer,2.0,,ACH-000330,IL1R1_HUMAN,1.0285691521967708,
Cancer,2.0,,ACH-000848,IL1R1_HUMAN,3.039138393906958,
Cancer,2.0,,ACH-000481,IL1R1_HUMAN,0.1243281350022017,
Cancer,2.0,,ACH-001517,IL1R1_HUMAN,1.2570106182060237,
Cancer,2.0,,ACH-000338,IL1R1_HUMAN,6.063287212206184,
Cancer,2.0,,ACH-001959,IL1R1_HUMAN,0.0,
Cancer,2.0,,ACH-001414,IL1R1_HUMAN,1.0214797274104517,
Cancer,2.0,,ACH-000871,IL1R1_HUMAN,0.4222330006830478,
Cancer,2.0,,ACH-001403,IL1R1_HUMAN,5.733625498408233,
Cancer,2.0,,ACH-000805,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-001142,IL1R1_HUMAN,4.393004256898322,
Cancer,2.0,,ACH-001554,IL1R1_HUMAN,0.137503523749935,
Cancer,2.0,,ACH-000847,IL1R1_HUMAN,0.0426443374084937,
Cancer,2.0,,ACH-001207,IL1R1_HUMAN,4.819668183496455,
Cancer,2.0,,ACH-000832,IL1R1_HUMAN,5.049630767724601,
Cancer,2.0,,ACH-000428,IL1R1_HUMAN,2.1243281350022016,
Cancer,2.0,,ACH-001382,IL1R1_HUMAN,0.7136958148433591,
Cancer,2.0,,ACH-001302,IL1R1_HUMAN,0.1110313123887439,
Cancer,2.0,,ACH-000690,IL1R1_HUMAN,1.495695162624069,
Cancer,2.0,,ACH-001134,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000914,IL1R1_HUMAN,0.0426443374084937,
Cancer,2.0,,ACH-000858,IL1R1_HUMAN,0.7739963251111731,
Cancer,2.0,,ACH-001421,IL1R1_HUMAN,0.0,
Cancer,2.0,,ACH-000544,IL1R1_HUMAN,0.2750070474998698,
Cancer,2.0,,ACH-000725,IL1R1_HUMAN,4.45022149589718,
Cancer,2.0,,ACH-000566,IL1R1_HUMAN,4.272769732436511,
Cancer,2.0,,ACH-000760,IL1R1_HUMAN,0.2265085298086797,
Cancer,2.0,,ACH-001745,IL1R1_HUMAN,0.2986583155645151,
Cancer,2.0,,ACH-000787,IL1R1_HUMAN,2.4905701304462013,
Cancer,2.0,,ACH-000749,IL1R1_HUMAN,0.137503523749935,
Cancer,2.0,,ACH-001068,IL1R1_HUMAN,4.856985689782205,
Cancer,2.0,,ACH-000358,IL1R1_HUMAN,0.0,
Cancer,2.0,,ACH-001654,IL1R1_HUMAN,1.2387868595871168,
Cancer,2.0,,ACH-001521,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000209,IL1R1_HUMAN,3.0461417816447205,
Cancer,2.0,,ACH-001520,IL1R1_HUMAN,3.656496370553495,
Cancer,2.0,,ACH-000213,IL1R1_HUMAN,1.2387868595871168,
Cancer,2.0,,ACH-001610,IL1R1_HUMAN,7.197609878379472,
Cancer,2.0,,ACH-001408,IL1R1_HUMAN,2.584962500721156,
Cancer,2.0,,ACH-000991,IL1R1_HUMAN,1.867896463992655,
Cancer,2.0,,ACH-001412,IL1R1_HUMAN,1.967168607532628,
Cancer,2.0,,ACH-000331,IL1R1_HUMAN,3.6380738371807184,
Cancer,2.0,,ACH-001407,IL1R1_HUMAN,3.1602748314085933,
Cancer,2.0,,ACH-000580,IL1R1_HUMAN,0.3785116232537298,
